player_id,normalized_yellow_card,normalized_red_card,normalized_goal,normalized_assist,normalized_minutes_played,normalized_rating
2874,0.0396,0.0000,0.1782,0.1089,0.4303,0.5654
2878,0.0833,0.0000,0.0833,0.0000,0.3725,0.4842
2899,0.0385,0.0000,0.0769,0.0769,0.6878,0.5702
2904,0.1500,0.0000,0.0000,0.0000,0.7050,0.5043
2923,0.0706,0.0000,0.1529,0.2000,0.5537,0.5923
2926,0.1235,0.0000,0.0118,0.0588,0.6616,0.5176
2950,0.0000,0.0000,0.0000,0.0000,0.0756,0.4072
2953,0.1818,0.0000,0.0000,0.0454,0.6283,0.4916
2956,0.0000,0.0000,0.0000,0.0000,0.2437,0.4412
2963,0.1234,0.0130,0.0584,0.0130,0.6511,0.5199
2998,0.1069,0.0000,0.0483,0.0207,0.7367,0.5433
2999,0.0625,0.0000,0.0000,0.0000,0.1513,0.4098
3059,0.0435,0.0000,0.0217,0.1087,0.6416,0.5439
3098,0.0862,0.0000,0.1379,0.0345,0.7395,0.5872
3109,0.0917,0.0083,0.3167,0.2167,0.6929,0.6826
3114,0.0347,0.0000,0.0833,0.1111,0.3955,0.5213
3115,0.0208,0.0000,0.0833,0.0000,0.3232,0.4869
3118,0.1000,0.0000,0.2000,0.2000,0.4723,0.5889
3130,0.0833,0.0000,0.0000,0.0000,0.6270,0.5020
3131,0.0000,0.0000,0.0000,0.0000,0.1513,0.4225
3132,0.0161,0.0000,0.1613,0.0645,0.5001,0.5684
3139,0.0833,0.0833,0.0000,0.1667,0.2654,0.4287
3146,0.0714,0.0000,0.0000,0.0000,0.7299,0.5253
3156,0.0833,0.0000,0.0417,0.0000,0.6835,0.5304
3159,0.1500,0.0000,0.0000,0.0000,0.6328,0.4897
3160,0.0469,0.0125,0.1062,0.0312,0.6952,0.5676
3163,0.0447,0.0000,0.2439,0.1138,0.4817,0.6024
3165,0.1071,0.0000,0.0714,0.0000,0.6921,0.5394
3170,0.0625,0.0000,0.0500,0.1125,0.4067,0.5047
3172,0.0357,0.0000,0.1429,0.0000,0.2722,0.4977
3176,0.0233,0.0233,0.2326,0.0698,0.4227,0.5718
3179,0.0349,0.0116,0.1279,0.0581,0.3315,0.5109
3182,0.0674,0.0000,0.0112,0.0786,0.7095,0.5425
3190,0.0000,0.0000,0.0000,0.0000,0.7479,0.5434
3195,0.0556,0.0000,0.1111,0.0000,0.2194,0.4701
3201,0.2115,0.0000,0.0769,0.0096,0.7023,0.5245
3202,0.0421,0.0000,0.0105,0.0316,0.5529,0.5060
3205,0.0500,0.0000,0.0000,0.0000,0.6622,0.5159
3216,0.0385,0.0769,0.1538,0.0000,0.2586,0.4676
3220,0.0648,0.0000,0.0000,0.0926,0.6352,0.5262
3226,0.0000,0.0000,0.1333,0.0000,0.5020,0.5476
3235,0.0515,0.0000,0.0147,0.0294,0.6983,0.5349
3251,0.0833,0.0000,0.0000,0.0417,0.6334,0.5118
3256,0.1136,0.0000,0.0364,0.0909,0.6744,0.5387
3259,0.0100,0.0000,0.0600,0.2200,0.5435,0.5689
3266,0.0282,0.0000,0.3380,0.1972,0.6073,0.6863
3269,0.0238,0.0000,0.1429,0.1905,0.3253,0.5495
3270,0.0114,0.0000,0.0227,0.0000,0.7412,0.5490
3273,0.0000,0.0000,0.1429,0.0000,0.6567,0.5829
3276,0.0769,0.0000,0.0923,0.0923,0.3338,0.5000
3287,0.0000,0.0000,0.0000,0.0000,0.7479,0.5434
3291,0.1307,0.0000,0.0367,0.0780,0.6699,0.5318
3292,0.1667,0.0123,0.0370,0.0741,0.6505,0.5149
3296,0.1071,0.0357,0.0357,0.0357,0.7209,0.5235
3297,0.0682,0.0000,0.0909,0.0454,0.4698,0.5193
3306,0.0667,0.0061,0.2061,0.0848,0.5897,0.5961
3310,0.0000,0.0000,0.0000,0.0000,0.5588,0.5051
3321,0.1923,0.0000,0.0000,0.0641,0.6721,0.5021
3322,0.0060,0.0000,0.0000,0.0000,0.7479,0.5422
3332,0.0893,0.0045,0.3661,0.2634,0.6535,0.7062
3333,0.0747,0.0022,0.0835,0.1538,0.4660,0.5353
