id_player,country_code,id_national_team,name,position_national,position_field,name_shirt,jersey_namber,position_field_detailed,country_birth,birth_date,id_match,start,year,start_position_x,start_position_y,height,id_club,weight
250042602,BEL,13.0,Leander Dendoncker,MIDFIELDER,MIDFIELDER,1,1,1,0,1,5,2,1,3,2,1,1,1
250042610,BEL,13.0,Divock Origi,FORWARD,FORWARD,1,1,1,1,1,5,1,1,1,1,1,1,1
250042622,CRO,56370.0,Tin Jedvaj,DEFENDER,DEFENDER,1,1,1,1,1,4,2,1,2,2,1,1,1
250042625,CRO,56370.0,Dominik Livaković,GOALKEEPER,GOALKEEPER,1,1,1,1,1,7,1,2,3,4,1,1,1
250042631,CRO,56370.0,Mario Pašalić,MIDFIELDER,MIDFIELDER,1,1,1,0,1,7,2,2,2,2,1,1,1
250042632,CRO,56370.0,Marko Pjaca,FORWARD,FORWARD,1,1,1,1,1,7,2,2,2,2,1,1,1
250042644,UKR,57166.0,Eduard Sobol,DEFENDER,DEFENDER,1,1,1,0,1,5,1,1,1,1,1,1,1
250042705,ENG,39.0,Luke Shaw,DEFENDER,DEFENDER,1,1,1,0,1,9,2,2,2,4,1,1,1
250042749,SRB,147.0,Mijat Gaćinović,MIDFIELDER,MIDFIELDER,1,1,1,1,1,3,1,1,0,0,0,1,0
250042778,FRA,43.0,Thomas Lemar,MIDFIELDER,MIDFIELDER,1,1,1,0,1,4,1,1,1,1,1,1,1
250042779,FRA,43.0,Clément Lenglet,DEFENDER,DEFENDER,1,1,1,0,1,4,2,1,2,2,1,1,1
250042780,FRA,43.0,Mike Maignan,GOALKEEPER,GOALKEEPER,1,2,1,0,1,7,2,2,2,2,1,1,1
250042781,FRA,43.0,Anthony Martial,FORWARD,FORWARD,1,1,1,0,1,7,2,1,2,2,1,1,1
250042799,NIR,63.0,Paddy McNair,DEFENDER,DEFENDER,1,1,1,0,1,4,2,1,2,2,1,1,1
250042869,SRB,147.0,Aleksandar Mitrović,FORWARD,FORWARD,1,1,1,0,1,3,1,1,3,1,1,1,1
250042877,SUI,128.0,Silvan Widmer,DEFENDER,DEFENDER,1,1,1,0,1,8,2,2,3,5,1,1,1
250043060,FIN,42.0,Robin Lod,MIDFIELDER,MIDFIELDER,1,1,1,0,1,3,1,1,2,2,1,1,1
250043066,AUT,8.0,Kevin Wimmer,DEFENDER,DEFENDER,1,1,1,0,1,3,1,1,0,0,1,1,1
